title,author,pages,SalesRank,ASIN,tags,year
Solid State,"Matt Fraction and Jonathan Coulton, illustrated by Albert Monteys",128,2355360,1534303650,"staff picks;comics & graphic novels;for music lovers;the dark side;sci fi, fantasy & speculative fiction",2017
Sour Heart,Jenny Zhang,320,1211847,0399589384,"short stories, essays & poetry;staff picks;identity & culture;realistic fiction;family matters;the states we’re in",2017
Sourdough: A Novel,Robin Sloan,272,1017921,0374203105,"sci fi, fantasy & speculative fiction;cookbooks & food;it’s all geek to me;book club ideas",2017
South And West: From A Notebook,Joan Didion,160,782392,1524732796,"nonfiction;staff picks;seriously great writing;short stories, essays & poetry;the states we’re in",2017
Spoonbenders: A Novel,Daryl Gregory,416,924475,152473182X,"sci fi, fantasy & speculative fiction;historical fiction;family matters;funny stuff",2017
Standard Deviation: A Novel,Katherine Heiny,336,1762174,0385353812,realistic fiction;staff picks;book club ideas;family matters,2017
Stanton: Lincoln's War Secretary,Walter Stahr,768,1234998,1476739307,biography & memoir;rather long;nonfiction;for history lovers;staff picks;the states we’re in,2017
Startup: A Novel,Doree Shafrir,304,2149933,0316360384,realistic fiction;staff picks;funny stuff;it’s all geek to me,2017
Stay With Me: A Novel,Ayobami Adebayo,272,355930,0451494601,staff picks;realistic fiction;tales from around the world;family matters;identity & culture;the dark side,2017
Steal The Stars,Nat Cassidy and Mac Rogers,416,1345051,1250172624,"sci fi, fantasy & speculative fiction;seriously great writing;mysteries & thrillers;love & romance",2017
Stephen Florida,Gabe Habash,304,1368238,1566894646,realistic fiction;it’s all geek to me,2017
Strange Practice (A Dr. Greta Helsing Novel),Vivian Shaw,400,174150,0316434604,"staff picks;sci fi, fantasy & speculative fiction;mysteries & thrillers;tales from around the world;for art lovers",2017
Strange The Dreamer,Laini Taylor,544,134917,0316341681,"young adult;rather long;sci fi, fantasy & speculative fiction;love & romance",2017
Sunshine State: Essays,Sarah Gerard,384,277596,006243487X,"nonfiction;biography & memoir;book club ideas;short stories, essays & poetry;the states we’re in",2017
Sweet: Desserts From London's Ottolenghi,Yotam Ottolenghi,368,43060,1607749149,cookbooks & food,2017
Swimmer Among the Stars,Kanishk Tharoor,256,3457843,0374272182,"short stories, essays & poetry;tales from around the world;seriously great writing;sci fi, fantasy & speculative fiction",2017
Swimming Lessons,Claire Fuller,356,694918,1941040519,mysteries & thrillers;family matters;realistic fiction;the dark side,2017
Sympathy,Olivia Sudjic,416,5414811,0544836596,realistic fiction;the dark side,2017
Tasting Georgia: A Food And Wine Journey In The Caucasus,Carla Capalbo,464,1690933,1566560594,cookbooks & food;tales from around the world,2017
"Teeth: The Story Of Beauty, Inequality, And The Struggle For Oral Health In America",Mary Otto,288,1288994,1620971445,staff picks;nonfiction;science!;eye-opening reads;for history lovers;identity & culture;the states we’re in,2017
Tell Me How It Ends: An Essay In 40 Questions,Valeria Luiselli,128,28495,1566894956,"nonfiction;staff picks;eye-opening reads;family matters;identity & culture;seriously great writing;short stories, essays & poetry",2017
Tender: Stories,Sofia Samatar,256,3148096,1618731262,"short stories, essays & poetry;sci fi, fantasy & speculative fiction;seriously great writing",2017
"Tenements, Towers and Trash: An Unconventional Illustrated History Of New York City",Julia Wertz,284,823416,0316501212,comics & graphic novels;for art lovers;eye-opening reads;for history lovers;nonfiction;book club ideas;the states we’re in,2017
The Alice Network: A Novel,Kate Quinn,560,,0062654195,historical fiction;rather long;mysteries & thrillers;eye-opening reads;for history lovers;tales from around the world;staff picks,2017
The Animators: A Novel,Kayla Rae Whitaker,384,1328707,0812989309,realistic fiction;staff picks;book club ideas;for art lovers;the dark side,2017
The Answers: A Novel,Catherine Lacey,304,854202,0374100268,mysteries & thrillers;the dark side;book club ideas,2017
"The Apparitionists: A Tale of Phantoms, Fraud, Photography, And The Man Who Captured Lincoln's Ghost",Peter Manseau,352,1901521,0544745973,for history lovers;nonfiction;book club ideas;eye-opening reads,2017
The Art Of Starving: A Novel,Sam J. Miller,384,1414399,0062456717,"young adult;sci fi, fantasy & speculative fiction",2017
The Backstagers Volume 1,"James Tynion IV, illustrated by Rian Sygh",112,946336,1608869938,"comics & graphic novels;sci fi, fantasy & speculative fiction;for art lovers;young adult;staff picks",2017
"The Beautiful Country And The Middle Kingdom: America And China, 1776 To The Present",John Pomfret,704,951392,0805092501,staff picks;nonfiction;tales from around the world;for history lovers;rather long;the states we’re in,2017
The Best We Could Do: An Illustrated Memoir,Thi Bui,336,164992,1419718770,biography & memoir;nonfiction;comics & graphic novels;tales from around the world;for history lovers,2017
The Bettencourt Affair: The World's Richest Woman And The Scandal That Rocked Paris,Tom Sancton,416,1526085,1101984473,nonfiction;biography & memoir;for history lovers;tales from around the world;book club ideas,2017
The Betting Vow,K.M. Jackson,352,,1496705726,realistic fiction;love & romance;let’s talk about sex,2017
The Blood Of Emmett Till,Timothy B. Tyson,304,939458,1476714843,nonfiction;identity & culture;the dark side;eye-opening reads;for history lovers;seriously great writing;the states we’re in,2017
The Book Of Dust Volume One: La Belle Sauvage,Philip Pullman,464,220582,0375815309,"rather long;sci fi, fantasy & speculative fiction;young adult;seriously great writing",2017
The Book Of Joan: A Novel,Lidia Yuknavitch,288,1827189,0062383272,"sci fi, fantasy & speculative fiction;let’s talk about sex;book club ideas;the dark side;rather short",2017
The Book Of Mistakes,Corinna Luyken,56,7204,0735227926,kids’ books;staff picks,2017
The Bright Hour: A Memoir Of Living And Dying,Nina Riggs,320,180521,1501169351,nonfiction;the dark side;biography & memoir;family matters;book club ideas,2017
The Burning Girl: A Novel,Claire Messud,256,1804853,0393635023,realistic fiction;book club ideas;staff picks,2017
The Butchering Art: Joseph Lister's Quest to Transform the Grisly World of Victorian Medicine,Lindsey Fitzharris,304,344030,0374117292,staff picks;nonfiction;biography & memoir;science!;for history lovers;eye-opening reads,2017
The Changeling: A Novel,Victor LaValle,448,821342,0812995945,"mysteries & thrillers;staff picks;sci fi, fantasy & speculative fiction;family matters;the dark side",2017
The Child: A Novel,Fiona Barton,384,926971,1101990481,mysteries & thrillers;the dark side;tales from around the world,2017
The Cold Eye (The Devil's West Book 2),Laura Anne Gilman,352,2228397,148142971X,"sci fi, fantasy & speculative fiction;historical fiction",2017
The Color Of Law: A Forgotten History Of How Our Government Segregated America,Richard Rothstein,368,60308,1631492853,nonfiction;eye-opening reads;for history lovers;identity & culture,2017
The Color Of Our Sky: A Novel,Amita Trasi,416,179154,0062474073,realistic fiction;book club ideas;identity & culture;tales from around the world;staff picks,2017
The Comfort Food Diaries: My Quest For The Perfect Dish To Mend A Broken Heart,Emily Nunn,320,803959,1451674201,cookbooks & food;nonfiction;biography & memoir,2017
The Complete Stories Of Leonora Carrington,Leonora Carrington,232,93072,0997366648,"short stories, essays & poetry;the dark side;for art lovers;sci fi, fantasy & speculative fiction",2017
The Cooking Gene: A Journey Through African American Culinary History In The Old South,Michael W. Twitty,464,88343,0062379291,cookbooks & food;nonfiction;for history lovers;identity & culture;staff picks;rather long,2017
The Dark Dark: Stories,Samantha Hunt,,,,"short stories, essays & poetry;seriously great writing",2017
The Dinner Party: And Other Stories,Joshua Ferris,256,3045204,031646595X,"short stories, essays & poetry;realistic fiction;the dark side",2017
The Dry: A Novel,Jane Harper,336,111088,1250105609,staff picks;realistic fiction;mysteries & thrillers;tales from around the world;the dark side,2017
The Essex Serpent: A Novel,Sarah Perry,432,116360,0062666371,historical fiction;book club ideas;tales from around the world;love & romance,2017
The Family Imprint: A Daughter's Portrait Of Love And Loss,Nancy Borowick,192,1149295,3775742484,staff picks;rather short;biography & memoir;nonfiction;family matters,2017
The First Rule Of Punk,Celia C. Pérez,336,214987,0425290409,staff picks;kids’ books;identity & culture;for music lovers;family matters,2017
The Force: A Novel,Don Winslow,496,254475,0062664417,staff picks;mysteries & thrillers;book club ideas;the dark side,2017
The Gentleman's Guide To Vice And Virtue,Mackenzi Lee,528,434069,0062382802,young adult;let’s talk about sex;historical fiction;funny stuff;love & romance,2017
The Golden House: A Novel,Salman Rushdie,400,1022403,0399592806,realistic fiction;staff picks;book club ideas;family matters;identity & culture;the states we’re in,2017
The Gulf: The Making of An American Sea,Jack E. Davis,608,775376,087140866X,nonfiction;rather long;staff picks;eye-opening reads;for history lovers;it’s all geek to me;the states we’re in,2017
The Hate U Give,Angie Thomas,464,8993,0062498533,staff picks;young adult;realistic fiction;rather long;book club ideas;eye-opening reads;identity & culture;seriously great writing,2017
The Hearts Of Men: A Novel,Nickolas Butler,400,4088672,0062469681,realistic fiction;book club ideas;seriously great writing;staff picks,2017
The Heirs: A Novel,Susan Rieger,272,474743,1101904712,realistic fiction;family matters;seriously great writing;the dark side,2017
The Idiot,Elif Batuman,432,916128,1594205612,realistic fiction;it’s all geek to me;love & romance,2017
The Inexplicable Logic Of My Life,Benjamin Alire Sáenz,464,1468904,0544586506,young adult;realistic fiction;rather long;family matters;identity & culture,2017
"The Inkblots: Hermann Rorschach, His Iconic Test, And The Power Of Seeing",Damion Searls,416,832079,0804136548,nonfiction;biography & memoir;science!;for history lovers;eye-opening reads;staff picks,2017
The King Is Always Above The People: Stories,Daniel Alarcón,240,1375429,1594631727,"short stories, essays & poetry;identity & culture;tales from around the world",2017
The Last Kid Left: A Novel,Rosecrans Baldwin,400,5177908,0374298564,mysteries & thrillers;love & romance;the dark side,2017
The Leavers: A Novel,Lisa Ko,352,285429,1616206888,realistic fiction;staff picks;book club ideas;mysteries & thrillers;family matters;seriously great writing;the dark side,2017
"The Legend Of Rock, Paper, Scissors","Drew Daywalt, illustrated by Adam Rex",48,622,0062438891,realistic fiction;tales from around the world;seriously great writing;family matters;for sports lovers,2017
The Little French Bistro: A Novel,Nina George,320,945928,0451495586,staff picks;realistic fiction;tales from around the world,2017
The Marrow Thieves,Cherie Dimaline,240,7591,1770864865,"sci fi, fantasy & speculative fiction;identity & culture;seriously great writing",2017
The Ministry Of Utmost Happiness: A Novel,Arundhati Roy,464,452072,1524733156,staff picks;realistic fiction;book club ideas;identity & culture;seriously great writing;tales from around the world;rather long,2017
The Misfortune Of Marion Palm: A Novel,Emily Culliton,304,2422273,1524731900,realistic fiction;family matters;staff picks,2017
The Mother Of All Questions,Rebecca Solnit,192,257980,1608467406,"nonfiction;short stories, essays & poetry;seriously great writing;book club ideas;identity & culture",2017
The Mountain: Stories,Paul Yoon,256,1451131,1501154087,"staff picks;short stories, essays & poetry;tales from around the world;the dark side;seriously great writing",2017
The New Analog: Listening And Reconnecting In A Digital World,Damon Krukowski,224,1373909,1620971976,nonfiction;staff picks;eye-opening reads;for music lovers;it’s all geek to me,2017
The New Odyssey: The Story Of The Twenty-First Century Refugee Crisis,Patrick Kingsley,368,1859590,1631492551,staff picks;nonfiction;eye-opening reads;tales from around the world,2017
The Ninth Hour: A Novel,Alice McDermott,256,599901,0374280142,realistic fiction;staff picks;family matters;historical fiction;book club ideas;seriously great writing,2017
The Palestinian Table,Reem Kassis,256,66176,0714874965,cookbooks & food;tales from around the world,2017
The Pearl Thief,Elizabeth Wein,336,2213285,1484717163,mysteries & thrillers;historical fiction;young adult,2017
The Pho Cookbook: Easy To Adventurous Recipes For Vietnam's Favorite Soup And Noodles,Andrea Nguyen,168,82546,1607749580,cookbooks & food;tales from around the world,2017
The Portable Nineteenth-Century African American Women Writers,Hollis Robbins and Henry Louis Gates Jr. (editors),672,1101115,014310599X,"nonfiction;for history lovers;identity & culture;biography & memoir;short stories, essays & poetry;for sports lovers",2017
The Potlikker Papers: A Food History Of The Modern South,John T. Edge,384,436568,1594206554,cookbooks & food;staff picks;for history lovers;identity & culture;nonfiction,2017
The Power,Naomi Alderman,400,156090,0316547611,"sci fi, fantasy & speculative fiction;the dark side",2017
The President's Keepers: Those Keeping Zuma In Power And Out Of Prison,Jacques Pauw,332,3202449,0624083039,staff picks;nonfiction;tales from around the world;eye-opening reads,2017
The Radium Girls: The Dark Story Of America's Shining Women,Kate Moore,496,562512,149264935X,nonfiction;rather long;for history lovers;the dark side,2017
The Red,Tiffany Reisz,224,3363141,1537217763,realistic fiction;love & romance;let’s talk about sex;for art lovers,2017
The Refugees,Viet Thanh Nguyen,224,1017414,0802126391,"realistic fiction;staff picks;short stories, essays & poetry;family matters;seriously great writing;identity & culture;the states we’re in",2017
The River Bank: A Sequel To Kenneth Grahame's The Wind In The Willows,Kij Johnson,224,1240489,1618731300,"kids’ books;seriously great writing;sci fi, fantasy & speculative fiction",2017
The Rules Do Not Apply: A Memoir,Ariel Levy,224,400905,0812996933,nonfiction;staff picks;biography & memoir;book club ideas;family matters,2017
The Rules Of Magic,Alice Hoffman,384,81991,1501137476,"sci fi, fantasy & speculative fiction;family matters;historical fiction",2017
The Sarah Book,Scott McClanahan,150,350920,0988518392,biography & memoir;rather short;realistic fiction;staff picks,2017
The Scent Of Jasmine: Coming Of Age In Jerusalem And Damascus,Anan Ameri,224,1775129,1566560012,biography & memoir;nonfiction;staff picks;book club ideas;for history lovers;family matters;tales from around the world;identity & culture,2017
The Secret Lives Of Color,Kassia St. Clair,320,7527,0143131141,nonfiction;for history lovers;it’s all geek to me;eye-opening reads,2017
The Seventh Function Of Language: A Novel,"Laurent Binet, translated by Sam Taylor",368,1789924,0374261563,mysteries & thrillers;for art lovers;seriously great writing;funny stuff;tales from around the world;it’s all geek to me,2017
The Sioux Chef's Indigenous Kitchen,Sean Sherman,256,9734,0816699798,cookbooks & food;for history lovers;identity & culture;staff picks,2017
The State Of Affairs: Rethinking Infidelity,Esther Perel,336,565349,0062322583,staff picks;nonfiction;eye-opening reads;family matters;let’s talk about sex;love & romance,2017
The Stone Sky,N.K. Jemisin,464,30317,0316229245,"sci fi, fantasy & speculative fiction;seriously great writing;family matters;identity & culture;the dark side",2017
The Storm Before The Storm: The Beginning Of The End Of The Roman Republic,Mike Duncan,352,76727,1610397215,nonfiction;eye-opening reads;for history lovers;book club ideas;it’s all geek to me;staff picks,2017
The Strange Case Of The Alchemist's Daughter,Theodora Goss,416,1643448,148146650X,"mysteries & thrillers;sci fi, fantasy & speculative fiction;historical fiction",2017
The Strays: A Novel,Emily Bitto,256,4586088,1455537721,realistic fiction;for art lovers;tales from around the world;historical fiction,2017
The Thing About Love,Julie James,384,1808931,0425273776,let’s talk about sex;love & romance;realistic fiction,2017
The Totally Unscientific Study Of The Search For Human Happiness,Paula Poundstone,288,2054070,1616204168,nonfiction;biography & memoir;family matters;funny stuff,2017
The Twelve Lives Of Samuel Hawley: A Novel,Hannah Tinti,400,1337399,0812989880,realistic fiction;family matters;mysteries & thrillers,2017
The Twenty Days Of Turin: A Novel,"Giorgio De Maria, translated by Ramon Glazov",224,441373,1631492292,"historical fiction;tales from around the world;the dark side;eye-opening reads;sci fi, fantasy & speculative fiction",2017
The Unwomanly Face Of War: An Oral History Of Women In World War II,"Svetlana Alexievich, translated by Richard Pevear and Larissa Volokhonsky",384,779742,0399588728,nonfiction;eye-opening reads;for history lovers;tales from around the world;staff picks,2017
The Unyielding,Shelly Laurenston,416,1763982,1617735132,"let’s talk about sex;love & romance;funny stuff;sci fi, fantasy & speculative fiction",2017
The Way Of The Hare,Marianne Taylor,272,6198823,1472909895,nonfiction;science!;eye-opening reads;tales from around the world,2017
The Wide Circumference Of Love,Marita Golden,300,2407712,1628727357,realistic fiction;book club ideas;family matters,2017
The Wine Lover's Daughter: A Memoir,Anne Fadiman,272,812746,0374228086,biography & memoir;cookbooks & food;family matters;staff picks;identity & culture;it’s all geek to me,2017
The Woman Next Door: A Novel,Yewande Omotoso,288,917813,1250124573,staff picks;realistic fiction;book club ideas;family matters;identity & culture;seriously great writing;tales from around the world,2017
"The Woman Who Smashed Codes: A True Story Of Love, Spies, And The Unlikely Heroine Who Outwitted America's Enemies",Jason Fagone,464,592615,0062430483,nonfiction;rather long;eye-opening reads;for history lovers;biography & memoir;book club ideas,2017
"The World Broke In Two: Virginia Woolf, T. S. Eliot, D. H. Lawrence, E. M. Forster, And The Year That Changed Literature",Bill Goldstein,368,2392475,0805094024,staff picks;nonfiction;for history lovers;for art lovers;biography & memoir,2017
"The Year I Was Peter The Great: 1956 – Khrushchev, Stalin’s Ghost, and a Young American in Russia",Marvin Kalb,304,1753973,0815731612,staff picks;biography & memoir;nonfiction;for history lovers;tales from around the world,2017
Theft By Finding: Diaries (1977-2002),David Sedaris,528,174608,0316154725,"staff picks;biography & memoir;rather long;funny stuff;nonfiction;short stories, essays & poetry",2017
They Can't Kill Us Until They Kill Us: Essays,Hanif Willis-Abdurraqib,236,777862,1937512657,"nonfiction;identity & culture;for music lovers;book club ideas;short stories, essays & poetry",2017
This Is Just My Face: Try Not To Stare,Gabourey Sidibe,256,2274756,0544786769,staff picks;biography & memoir;nonfiction;funny stuff;identity & culture;no biz like show biz,2017
Thousand Star Hotel,Bao Phi,112,2020781,1566894700,"short stories, essays & poetry;staff picks;tales from around the world;identity & culture",2017
"Too Fat, Too Slutty, Too Loud: The Rise And Reign Of The Unruly Woman",Anne Helen Petersen,288,1748335,0399576851,nonfiction;identity & culture;eye-opening reads,2017
Too Much And Not The Mood: Essays,Durga Chew-Bose,240,340518,0374535957,"nonfiction;staff picks;short stories, essays & poetry;identity & culture;for art lovers;family matters",2017
Touch,Courtney Maum,306,3037247,0735212120,it’s all geek to me;love & romance;funny stuff;realistic fiction,2017
Town Is By The Sea,"Joanne Schwartz, illustrated by Sydney Smith",52,1544831,1554988713,kids’ books;for art lovers,2017
Triangle,"Mac Barnett, illustrated by Jon Klassen",48,25310,076369603X,kids’ books;staff picks,2017
Trust No Aunty,Maria Qamar,192,2009030,1501154737,comics & graphic novels;identity & culture;family matters;funny stuff,2017
Turtles All The Way Down,John Green,304,65170,0525555366,book club ideas;eye-opening reads;young adult;realistic fiction;staff picks,2017
Twin Peaks: The Final Dossier,Mark Frost,160,110692,1250163307,staff picks;mysteries & thrillers;it’s all geek to me;rather short;for art lovers,2017
Two Kinds Of Truth,Michael Connelly,416,564354,0316225908,staff picks;mysteries & thrillers;the dark side,2017
Tyrannosaurus Rex Vs. Edna The Very First Chicken,"Douglas Rees, illustrated by Jed Henry",40,167340,1627795103,staff picks;kids’ books;science!,2017
Uncommon Type: Some Stories,Tom Hanks,416,206057,1101946156,"short stories, essays & poetry;staff picks;realistic fiction",2017
Universal Harvester: A Novel,John Darnielle,224,1247685,0374282102,mysteries & thrillers;the dark side;staff picks,2017
WHEREAS: Poems,Layli Long Soldier,114,152201,1555977677,"short stories, essays & poetry;seriously great writing;eye-opening reads;staff picks;identity & culture",2017
Wait Till You See Me Dance: Stories,Deb Olin Unferth,200,1533115,1555977685,"short stories, essays & poetry;realistic fiction",2017
Walkaway: A Novel,Cory Doctorow,384,1127617,0765392763,"sci fi, fantasy & speculative fiction;it’s all geek to me;the dark side;book club ideas",2017
We Are Never Meeting In Real Life.: Essays,Samantha Irby,288,91112,1101912197,"nonfiction;staff picks;family matters;funny stuff;let’s talk about sex;biography & memoir;short stories, essays & poetry",2017
We Need To Talk: How To Have Conversations That Matter,Celeste Headlee,272,1082891,0062669001,nonfiction;book club ideas;staff picks,2017
What Happened,Hillary Rodham Clinton,512,148573,1501175564,nonfiction;rather long;staff picks;biography & memoir;the states we’re in,2017
What It Means When A Man Falls From The Sky: Stories,Lesley Nneka Arimah,240,1338823,0735211027,"sci fi, fantasy & speculative fiction;short stories, essays & poetry;identity & culture;family matters;tales from around the world",2017
What She Ate: Six Remarkable Women And The Food That Tells Their Stories,Laura Shapiro,320,592847,0525427643,staff picks;cookbooks & food;nonfiction;for history lovers;eye-opening reads;biography & memoir,2017
What We Lose: A Novel,Zinzi Clemmons,224,1686968,0735221715,realistic fiction;book club ideas;identity & culture;let’s talk about sex;rather short;staff picks,2017
Whatever Happened To Interracial Love?: Stories,Kathleen Collins,192,1474079,006248415X,"short stories, essays & poetry;staff picks;realistic fiction;identity & culture;seriously great writing",2017
When Dimple Met Rishi,Sandhya Menon,384,1442831,1481478680,realistic fiction;staff picks;young adult;family matters;funny stuff;identity & culture;it’s all geek to me;love & romance,2017
When's My Birthday?,"Julie Fogliano, illustrated by Christian Robinson",40,72090,1626722935,kids’ books,2017
Where The Water Goes: Life And Death Along The Colorado River,David Owen,288,813534,1594633770,nonfiction;eye-opening reads;science!;the states we’re in,2017
White Fur: A Novel,Jardine Libaire,320,1568404,0451497929,realistic fiction;love & romance;identity & culture;seriously great writing;historical fiction,2017
White Tears: A Novel,Hari Kunzru,288,1642433,0451493699,"mysteries & thrillers;sci fi, fantasy & speculative fiction;for music lovers;identity & culture;the dark side;staff picks",2017
Why I’m No Longer Talking To White People About Race,Reni Eddo-Lodge,272,1272619,140887055X,nonfiction;book club ideas;eye-opening reads;identity & culture;staff picks,2017
Why We Sleep: Unlocking The Power Of Sleep And Dreams,Matthew Walker,368,10854,1501144316,nonfiction;eye-opening reads;book club ideas;for history lovers;science!;it’s all geek to me;staff picks,2017
Wild Things: The Joy Of Reading Children’s Literature As An Adult,Bruce Handy,336,976432,1451609957,nonfiction;for art lovers;eye-opening reads;kids’ books,2017
Winter Tide (The Innsmouth Legacy),Ruthanna Emrys,368,1103372,0765390906,"staff picks;sci fi, fantasy & speculative fiction;book club ideas;historical fiction;the dark side",2017
Wishtree,Katherine Applegate,224,16664,1250043220,"kids’ books;sci fi, fantasy & speculative fiction;identity & culture;family matters",2017
Wolf In The Snow,Matthew Cordell,48,72390,1250076366,kids’ books;for art lovers,2017
Wonder Valley: A Novel,Ivy Pochoda,336,2374418,006265635X,realistic fiction;staff picks,2017
World Without Mind: The Existential Threat Of Big Tech,Franklin Foer,272,679316,1101981113,nonfiction;it’s all geek to me;the dark side;staff picks,2017
You & A Bike & A Road,Eleanor Davis,172,2199570,1927668409,biography & memoir;comics & graphic novels;nonfiction;book club ideas;staff picks;the states we’re in,2017
You Don't Have To Say You Love Me: A Memoir,Sherman Alexie,464,211438,031627075X,nonfiction;staff picks;rather long;family matters;biography & memoir;identity & culture,2017
literally show me a healthy person,Darcie Wilder,98,767363,0999218603,rather short;realistic fiction;staff picks;family matters;funny stuff;seriously great writing;the dark side,2017
1947: Where Now Begins,"Elisabeth Åsbrink, translated by Fiona Graham",288,380340,1590518969,nonfiction;for history lovers;book club ideas;eye-opening reads;tales from around the world,2018
84K,Claire North,496,259519,0316316806,"sci fi, fantasy & speculative fiction;family matters;the dark side;rather long;tales from around the world",2018
A Carnival Of Losses: Notes Nearing Ninety,Donald Hall,224,1095740,1328826341,"staff picks;short stories, essays & poetry;book club ideas;seriously great writing;identity & culture;nonfiction;biography & memoir;rather short",2018
A Common Table: 80 Recipes And Stories From My Shared Cultures,Cynthia Chen McTernan,288,1227425,163565002X,cookbooks & food;tales from around the world,2018
A Cruelty Special To Our Species: Poems,Emily Jungmin Yoon,80,3429645,0062843680,"short stories, essays & poetry;identity & culture;tales from around the world;for history lovers",2018
A Duke By Default: Reluctant Royals,Alyssa Cole,384,1184111,0062685562,love & romance;let’s talk about sex;tales from around the world;realistic fiction,2018
A Gift From Darkness,Patience Ibrahim and Andrea C. Hoffmann,288,2693999,1590518497,nonfiction;biography & memoir;book club ideas;eye-opening reads;tales from around the world;staff picks,2018
"A Hard Rain: America In The 1960s, Our Decade Of Hope, Possibility, And Innocence Lost",Frye Gaillard,704,1437604,158838344X,nonfiction;biography & memoir;for history lovers;the states we’re in;rather long;staff picks,2018
A Life Of My Own: A Memoir,Claire Tomalin,352,1841004,0399562915,biography & memoir;book club ideas;eye-opening reads;family matters;nonfiction;seriously great writing;for history lovers,2018
A Lucky Man: Stories,Jamel Brinkley,264,1206705,1555978053,"realistic fiction;short stories, essays & poetry;book club ideas;family matters;identity & culture;seriously great writing;love & romance",2018
A New Reality: Human Evolution For A Sustainable Future,Jonas Salk and Jonathan Salk,256,1398729,1947951041,nonfiction;eye-opening reads;science!;staff picks,2018
A Place For Us: A Novel,Fatima Farheen Mirza,400,479958,1524763551,realistic fiction;family matters;identity & culture;love & romance;staff picks;the states we’re in,2018
A River Of Stars: A Novel,Vanessa Hua,304,2443586,0399178783,realistic fiction;book club ideas;family matters;identity & culture;staff picks;the states we’re in,2018
A Room Away From The Wolves,Nova Ren Suma,336,713344,1616203730,"young adult;sci fi, fantasy & speculative fiction;the dark side;family matters",2018
A Stitch In Time,Daphne Kalmar,176,3149374,1250154987,kids’ books;family matters;historical fiction,2018
A Thousand Beginnings And Endings,Ellen Oh and Elsie Chapman (editors),336,892132,0062671154,"short stories, essays & poetry;identity & culture;tales from around the world;sci fi, fantasy & speculative fiction;staff picks;eye-opening reads",2018
Achtung Baby: An American Mom On The German Art Of Raising Self-Reliant Children,Sara Zaske,256,1678353,1250160170,nonfiction;book club ideas;tales from around the world;family matters;eye-opening reads;staff picks,2018
All The Animals Where I Live,Philip C. Stead,48,779072,1626726566,kids’ books;family matters,2018
All The Answers,Michael Kupperman,224,2066151,1501166433,comics & graphic novels;nonfiction;biography & memoir;family matters;staff picks;for history lovers;it’s all geek to me;book club ideas;rather short,2018
All The Names They Used For God,Anjali Sachdeva,272,1755011,0399593004,"short stories, essays & poetry;staff picks;sci fi, fantasy & speculative fiction",2018
All You Can Ever Know: A Memoir,Nicole Chung,240,662665,1936787970,nonfiction;biography & memoir;book club ideas;family matters;identity & culture;staff picks;the states we’re in;rather short,2018
Amal Unbound,Aisha Saeed,240,155703,0399544682,kids’ books;identity & culture;tales from around the world;family matters,2018
America Is Not The Heart: A Novel,Elaine Castillo,416,876418,073522241X,realistic fiction;identity & culture;cookbooks & food;book club ideas;the states we’re in;let’s talk about sex,2018
American Hate: Survivors Speak Out,Arjun Singh Sethi,192,2312899,1620973715,"nonfiction;identity & culture;the states we’re in;eye-opening reads;short stories, essays & poetry",2018
American Prison: A Reporter's Undercover Journey Into The Business Of Punishment,Shane Bauer,368,528579,0735223580,nonfiction;book club ideas;eye-opening reads;the dark side;the states we’re in,2018
An American Marriage: A Novel,Tayari Jones,336,98618,1616208775,realistic fiction;book club ideas;family matters;identity & culture;love & romance;seriously great writing;the states we’re in;staff picks,2018
Ana Maria Reyes Does Not Live In A Castle,Hilda Eunice Burgos,288,1374797,1620143623,kids’ books;identity & culture;for music lovers;family matters;tales from around the world,2018
Antisocial Media: How Facebook Disconnects Us And Undermines Democracy,Siva Vaidhyanathan,288,2052515,0190841168,nonfiction;eye-opening reads;it’s all geek to me;the dark side;staff picks,2018
Arthur Ashe: A Life,Raymond Arsenault,784,1030137,1439189048,nonfiction;biography & memoir;identity & culture;rather long;the states we’re in;staff picks;for sports lovers,2018
Asymmetry: A Novel,Lisa Halliday,288,1326980,150116676X,realistic fiction;book club ideas;family matters;seriously great writing;staff picks,2018
Bachelor Nation: Inside The World Of America's Favorite Guilty Pleasure,Amy Kaufman,320,1454181,1101985909,staff picks;nonfiction;book club ideas;identity & culture;the states we’re in;love & romance;no biz like show biz,2018
Back Talk: Stories,Danielle Lazarin,256,2788913,0143131478,"short stories, essays & poetry;book club ideas;eye-opening reads;identity & culture;seriously great writing;staff picks",2018
Bad Blood: Secrets And Lies In A Silicon Valley Startup,John Carreyrou,352,307161,152473165X,nonfiction;eye-opening reads;the dark side;science!;the states we’re in;staff picks;book club ideas;mysteries & thrillers,2018
Ball Lightning,"Cixin Liu, translated by Joel Martinsen",384,761576,0765394073,"sci fi, fantasy & speculative fiction;science!;tales from around the world;staff picks",2018
"Barracoon: The Story Of The Last ""Black Cargo""",Zora Neale Hurston,208,56613,0062748203,staff picks;nonfiction;biography & memoir;book club ideas;eye-opening reads;for history lovers;identity & culture;the states we’re in;rather short,2018
Be Prepared,Vera Brosgol,256,43453,1626724458,family matters;comics & graphic novels;funny stuff;identity & culture;kids’ books;biography & memoir;nonfiction;young adult,2018
Becoming,Michelle Obama,448,57603,1524763136,nonfiction;biography & memoir;the states we’re in;identity & culture;family matters;love & romance;staff picks;book club ideas;rather long,2018
